<Date>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2019-08-16 09:31:00,1279.8,1279.95,1278,1279.3,129921
2019-08-16 09:32:00,1279.3,1279.3,1278.15,1278.2,60882
2019-08-16 09:33:00,1278.45,1279.5,1278.05,1278.9,84804
2019-08-16 09:34:00,1278.3,1279.25,1277.45,1277.7,117476
2019-08-16 09:35:00,1277.45,1278.1,1275.35,1276.25,114360
2019-08-16 09:36:00,1275.7,1276.9,1275.35,1276.25,91298
2019-08-16 09:37:00,1276,1277.25,1274.05,1274.2,179237
2019-08-16 09:38:00,1274.05,1276.6,1273.2,1276.55,89104
2019-08-16 09:39:00,1276.8,1277.4,1274.5,1275.95,79077
2019-08-16 09:40:00,1275.95,1276.4,1275.05,1276,34442
2019-08-16 09:41:00,1275.95,1280,1275.75,1280,99375
2019-08-16 09:42:00,1279.95,1283.2,1279.95,1282.85,186136
2019-08-16 09:43:00,1283,1284,1282.9,1283.6,156512
2019-08-16 09:44:00,1283.3,1284.65,1283,1284.65,84011
2019-08-16 09:45:00,1285,1286.7,1284.05,1284.75,179313
2019-08-16 09:46:00,1284.75,1284.75,1283.15,1283.25,45846
2019-08-16 09:47:00,1283.3,1283.8,1282.9,1283.3,50078
2019-08-16 09:48:00,1283.4,1283.4,1282.5,1283.2,39835
2019-08-16 09:49:00,1283.2,1283.55,1282.8,1283,41479
2019-08-16 09:50:00,1283,1283.45,1282.3,1282.6,37468
2019-08-16 09:51:00,1282.75,1282.75,1281.5,1281.75,31493
2019-08-16 09:52:00,1281.7,1282.4,1281.2,1282.4,46541
2019-08-16 09:53:00,1282.4,1282.5,1281.05,1281.65,23156
2019-08-16 09:54:00,1281.65,1282.4,1281.45,1282.35,25175
2019-08-16 09:55:00,1282.35,1283.5,1282.25,1283.5,19941
2019-08-16 09:56:00,1283.5,1283.5,1282.4,1282.6,16560
2019-08-16 09:57:00,1282.65,1282.7,1282.65,1282.7,16171
2019-08-16 09:58:00,1282.3,1283.15,1282.15,1282.75,34103
2019-08-16 09:59:00,1282.75,1283.8,1282.75,1283.8,28423
2019-08-16 10:00:00,1283.8,1284.45,1282.9,1284.45,51942
2019-08-16 10:01:00,1283.95,1284.55,1283.7,1284.25,58434
2019-08-16 10:02:00,1284.2,1284.4,1283.8,1283.8,23979
2019-08-16 10:03:00,1283.85,1284.85,1283.85,1284.25,36973
2019-08-16 10:04:00,1284.3,1284.8,1283.8,1284.25,38776
2019-08-16 10:05:00,1284.25,1284.35,1283.8,1283.95,24554
2019-08-16 10:06:00,1283.9,1283.95,1283.7,1283.7,24454
2019-08-16 10:07:00,1283.7,1283.75,1283.3,1283.35,16265
2019-08-16 10:08:00,1283.3,1283.35,1282.5,1282.55,17210
2019-08-16 10:09:00,1282.6,1282.6,1281.8,1282.1,29956
2019-08-16 10:10:00,1282.2,1283.85,1282.2,1283,18183
2019-08-16 10:11:00,1283,1284.5,1283,1283.05,33876
2019-08-16 10:12:00,1283.1,1284.1,1282.7,1282.8,26213
2019-08-16 10:13:00,1283,1283,1282.2,1282.25,6408
2019-08-16 10:14:00,1282.2,1282.25,1281.8,1282,21912
2019-08-16 10:15:00,1282.15,1283.75,1282.15,1283.2,37125
2019-08-16 10:16:00,1283.25,1283.3,1282.45,1282.95,13548
2019-08-16 10:17:00,1283,1283.2,1282.2,1282.4,8061
2019-08-16 10:18:00,1282.35,1282.4,1277.55,1278.6,86369
2019-08-16 10:19:00,1279.2,1280.85,1278.85,1280.75,42017
2019-08-16 10:20:00,1280.45,1280.7,1279.3,1279.3,33268
2019-08-16 10:21:00,1279.75,1279.75,1279,1279.35,22170
2019-08-16 10:22:00,1279.4,1280.45,1279.25,1279.9,17391
2019-08-16 10:23:00,1279.9,1280.3,1278.4,1278.75,33103
2019-08-16 10:24:00,1278.9,1280.25,1278.9,1279.2,25053
2019-08-16 10:25:00,1279.3,1280.55,1279.3,1280.25,27795
2019-08-16 10:26:00,1280.25,1280.35,1279,1279.5,31161
2019-08-16 10:27:00,1279.15,1279.5,1279.05,1279.05,26861
2019-08-16 10:28:00,1279.1,1279.9,1278.65,1279.9,41994
2019-08-16 10:29:00,1279.95,1279.95,1278.5,1278.65,25750
2019-08-16 10:30:00,1278.65,1279.25,1278.45,1278.9,39547
2019-08-16 10:31:00,1278.9,1278.9,1277.1,1277.9,28248
2019-08-16 10:32:00,1277.95,1278.45,1277.1,1277.2,15110
2019-08-16 10:33:00,1277.2,1277.65,1276.7,1277.4,35535
