<Date>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
05-08-2019 13:08,1142.05,1143.6,1142.05,1143,20805
05-08-2019 13:09,1143.05,1143.6,1142.2,1143.3,13932
05-08-2019 13:10,1143.5,1144.15,1143.5,1143.9,12235
05-08-2019 13:11,1143.9,1144.45,1143.55,1143.55,10409
05-08-2019 13:12,1143.95,1144.2,1143.55,1143.8,10854
05-08-2019 13:13,1143.8,1144.95,1143.8,1144.85,21028
05-08-2019 13:14,1144.85,1144.9,1143.2,1143.55,17735
05-08-2019 13:15,1143.55,1144,1143.4,1143.4,11111
05-08-2019 13:16,1143.75,1145.7,1143.75,1145.7,19659
05-08-2019 13:17,1145.7,1145.9,1144.2,1144.55,16246
05-08-2019 13:18,1144.85,1145.25,1144.15,1144.45,13335
05-08-2019 13:19,1144.5,1144.5,1144,1144.3,12840
05-08-2019 13:20,1144.45,1144.8,1143.9,1144.45,17121
05-08-2019 13:21,1144.55,1146,1144.45,1145.85,22959
05-08-2019 13:22,1145.95,1146,1145,1145.95,28494
05-08-2019 13:23,1145.95,1146.1,1144.75,1145.5,19645
05-08-2019 13:24,1145.55,1145.8,1145,1145.2,16348
05-08-2019 13:25,1145.25,1146.1,1145.2,1145.75,23237
05-08-2019 13:26,1146,1146.2,1144.95,1144.95,19695
05-08-2019 13:27,1144.55,1145.75,1144.55,1144.7,18429
05-08-2019 13:28,1144.65,1146.9,1144.6,1146.9,21486
05-08-2019 13:29,1146.9,1147.85,1146.8,1147.65,32219
05-08-2019 13:30,1147.8,1147.95,1145.75,1147.15,34785
05-08-2019 13:31,1147.2,1147.6,1146.3,1147.1,22517
05-08-2019 13:32,1147.05,1147.05,1146.1,1146.35,14719
05-08-2019 13:33,1146.3,1146.75,1145.75,1146.4,15108
05-08-2019 13:34,1146.55,1146.95,1146.1,1146.25,21715
05-08-2019 13:35,1146.4,1146.5,1146.2,1146.45,17445
05-08-2019 13:36,1146.4,1146.8,1143.6,1144.2,35407
05-08-2019 13:37,1144.2,1144.8,1142.5,1142.55,29172
05-08-2019 13:38,1142.55,1143.5,1142.05,1142.8,24504
05-08-2019 13:39,1143.25,1143.5,1142.15,1142.45,39008
05-08-2019 13:40,1143.3,1143.3,1142.55,1143.3,28263
05-08-2019 13:41,1143.1,1143.9,1143,1143.85,24996
05-08-2019 13:42,1143.95,1144.25,1143.1,1143.85,30055
05-08-2019 13:43,1143.9,1144.65,1143.5,1144.3,25849
05-08-2019 13:44,1144.1,1144.65,1143.25,1143.5,28382
05-08-2019 13:45,1143.25,1144,1143.05,1143.05,32583
05-08-2019 13:46,1143.3,1143.45,1141,1141.1,52104
05-08-2019 13:47,1141.15,1142.8,1141,1142.55,35330
05-08-2019 13:48,1142.7,1142.95,1141.8,1142.8,44313
05-08-2019 13:49,1142.6,1143.25,1142.05,1142.05,41835
05-08-2019 13:50,1142,1142.3,1141.05,1141.05,40896
05-08-2019 13:51,1141.15,1141.95,1141,1141.3,23223
05-08-2019 13:52,1141.5,1142.5,1141.25,1141.85,21086
05-08-2019 13:53,1142,1142.05,1141.2,1141.65,18516
05-08-2019 13:54,1141.65,1141.95,1138.5,1139.55,63669
05-08-2019 13:55,1139.55,1140.05,1139.05,1139.9,32812
05-08-2019 13:56,1140,1141,1139.6,1139.85,31013
05-08-2019 13:57,1139.8,1140.5,1139.25,1140.45,19706
05-08-2019 13:58,1140.6,1142.2,1140.6,1142,19564
05-08-2019 13:59,1142.25,1142.25,1141.7,1142.1,27622
05-08-2019 14:00,1142.25,1142.9,1140,1140.1,31630
05-08-2019 14:01,1140.25,1142.75,1140.05,1142.45,24109
05-08-2019 14:02,1142.5,1144.7,1142.45,1144.05,41721
05-08-2019 14:03,1144.15,1145.75,1144.15,1145.5,32400
05-08-2019 14:04,1145.25,1145.45,1144.45,1145.05,15633
05-08-2019 14:05,1145.05,1145.05,1144.4,1144.4,24021
05-08-2019 14:06,1143.95,1145.45,1143.3,1145.25,30966
05-08-2019 14:07,1145.25,1145.9,1145.25,1145.85,14850
05-08-2019 14:08,1145.9,1146.25,1145.25,1145.8,23563
05-08-2019 14:09,1145.85,1147.05,1145.5,1147,43060
05-08-2019 14:10,1146.95,1147.45,1146.55,1147,24095
05-08-2019 14:11,1147.05,1147.3,1145.55,1145.6,17381
05-08-2019 14:12,1145.65,1147.2,1145.55,1146.8,17617
05-08-2019 14:13,1146.8,1146.8,1145.55,1146.05,21418
05-08-2019 14:14,1146.05,1146.4,1144.3,1146.1,19819
05-08-2019 14:15,1145.95,1147,1145.8,1147,27910
05-08-2019 14:16,1146.9,1147.8,1146.55,1147.8,32988
05-08-2019 14:17,1147.55,1148.5,1146.9,1147.2,34307
05-08-2019 14:18,1147.2,1147.5,1146.05,1146.1,22460
05-08-2019 14:19,1146.25,1147.4,1146.1,1147.35,15486
05-08-2019 14:20,1147.15,1147.65,1146,1147.5,24401
05-08-2019 14:21,1147.65,1148.05,1146.45,1147.9,23601
05-08-2019 14:22,1148,1148.25,1147.45,1147.65,26976
05-08-2019 14:23,1147.65,1147.75,1145.2,1147.1,27255
05-08-2019 14:24,1147.15,1147.9,1147,1147.55,13998
05-08-2019 14:25,1147.7,1147.9,1147.1,1147.7,19738
05-08-2019 14:26,1147.8,1147.95,1145.95,1146.1,29675
05-08-2019 14:27,1146.3,1147.75,1146,1147,20411
05-08-2019 14:28,1147,1147,1146.1,1147,22416
05-08-2019 14:29,1147,1147,1146.2,1146.85,12014
05-08-2019 14:30,1146.55,1147,1145.15,1145.2,28662
05-08-2019 14:31,1145.4,1146,1144.85,1145.4,19548
05-08-2019 14:32,1145.6,1145.6,1143,1143.05,33816
05-08-2019 14:33,1143.05,1145.3,1143.05,1144.95,29589
05-08-2019 14:34,1144.9,1144.9,1143.3,1144.4,21496
05-08-2019 14:35,1144.45,1145.45,1143.55,1145.05,21331
05-08-2019 14:36,1145.05,1145.95,1145.05,1145.4,15604
05-08-2019 14:37,1145.5,1145.85,1145.4,1145.8,14552
05-08-2019 14:38,1145.8,1147.1,1145.8,1146.85,23892
05-08-2019 14:39,1146.8,1148,1146.8,1147.55,34010
05-08-2019 14:40,1147.8,1147.95,1147.5,1147.9,18784
